Transaction Date,Type,Market,Amount,Rate inc. fee,Rate ex. fee,Fee,Fee AUD (inc GST),GST AUD,Total AUD,Total (inc GST)
7/11/2020 8:37,Buy,SXP/AUD,113.9211666,1.3167,1.303663366,1.4851485148514882 AUD,1.49,0.14,150,150.00 AUD
6/11/2020 8:50,Buy,ONE/AUD,16074.58608,0.006221,0.006159406,0.9900990099009874 AUD,0.99,0.09,100,100.00 AUD
23/09/2020 23:38,Sell,UNI/EGLD,21.62893884,0.523364056,0.528650561,0.11434150661337661 EGLD,1.47,0.13,145.17,11.319809154724332 EGLD
22/09/2020 16:49,Sell,FTM/UNI,2557,0.008458717,0.008544158,0.21847412974261005 UNI,1.34,0.12,133.03,21.628938844518387 UNI
17/09/2020 17:59,Buy,ETH/AUD,0.06047301,542.06,536.6930726,0.3245544554455435 AUD,0.32,0.03,32.78,32.78 AUD
17/09/2020 17:59,Buy,CRV/AUD,121,1.7952,1.777432289,2.150693069306925 AUD,2.15,0.2,217.22,217.22 AUD
17/09/2020 17:58,Buy,ETH/AUD,0.46133973,541.9,536.5346541,2.47524752475249 AUD,2.48,0.23,250,250.00 AUD
17/09/2020 17:56,Sell,EGLD/ETH,5.0056731,0.030985974,0.031298964,0.0015667238005257766 ETH,0.84,0.08,82.99,0.15510565625205042 ETH
6/09/2020 15:46,Buy,CRV/AUD,213.0833156,2.3465,2.323267327,4.95049504950498 AUD,4.95,0.45,500,500.00 AUD
4/09/2020 10:15,Buy,CRV/AUD,116.0362033,4.309,4.266336634,4.95049504950498 AUD,4.95,0.45,500,500.00 AUD
1/09/2020 19:04,Sell,CRV/WNXM,45.3137526,0.066120675,0.066788561,0.03026440323932711 WNXM,3.15,0.29,312.06,2.996175920693362 WNXM
1/09/2020 16:06,Sell,HOT/WNXM,600000,9.53532E-06,9.63163E-06,0.057789807642424584 WNXM,5.9,0.54,584.52,5.7211909566 WNXM
28/08/2020 15:43,Buy,CRV/AUD,0.19003458,5.2622,5.210099182,0.00990099009900991 AUD,0.01,0,1,1.00 AUD
28/08/2020 15:43,Buy,CRV/AUD,95.12371802,5.2458,5.193861386,4.940594059405953 AUD,4.94,0.45,499,499.00 AUD
12/08/2020 9:38,Buy,ETH/AUD,0.09048627,552.57,547.0990294,0.4950495049504937 AUD,0.5,0.05,50,50.00 AUD
6/08/2020 11:03,Buy,ERD/AUD,5005.673096,0.029966,0.029669307,1.4851485148514882 AUD,1.49,0.14,150,150.00 AUD
2/08/2020 14:29,Buy,BNB/AUD,6.26370184,31.93,31.61386143,1.9801980198019749 AUD,1.98,0.18,200,200.00 AUD
31/07/2020 16:13,Sell,MIOTA/UTK,184.3805445,3.555540721,3.591455274,6.62194478983713 UTK,0.77,0.07,75.94,655.5725341938744 UTK
31/07/2020 16:11,Sell,MIOTA/UTK,1215.619455,3.565060241,3.60107095,43.7753190795338 UTK,5.05,0.46,500,4333.75658887388 UTK
31/07/2020 16:06,Sell,XNO/UTK,300,11.20263158,11.31578947,33.94736842105249 UTK,3.89,0.35,384.75,3360.7894736842104 UTK
31/07/2020 16:05,Sell,ZRX/UTK,52.75596721,4.666761134,4.713900135,2.4868636095078216 UTK,0.28,0.03,28.18,246.19949734127485 UTK
31/07/2020 16:05,Sell,ZRX/UTK,937.2440328,4.660080972,4.707152497,44.11750588895484 UTK,5.05,0.46,500,4367.633083006484 UTK
30/07/2020 0:13,Buy,ETH/AUD,0.01186135,466.22,461.6040775,0.05475247524752458 AUD,0.05,0,5.53,5.53 AUD
30/07/2020 0:12,Sell,ZRX/AUD,10,0.55273,0.558313131,0.05583131313131329 AUD,0.06,0.01,5.53,5.5273 AUD
